Module	Section	Sample Name	Source
Cutadapt	all_sections	Lung_M3_*	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/trim_galore/Lung_M3_*.fastq_trimming_report.txt
Cutadapt	all_sections	Lung_F3_*	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/trim_galore/Lung_F3_*.fastq_trimming_report.txt
Cutadapt	all_sections	Lung_M2_*	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/trim_galore/Lung_M2_*.fastq_trimming_report.txt
Cutadapt	all_sections	Lung_F2_*	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/trim_galore/Lung_F2_*.fastq_trimming_report.txt
FastQC	all_sections	Lung_F1_*	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/fastqc/Lung_F1_*_fastqc.zip
FastQC	all_sections	Lung_F3_*	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/fastqc/Lung_F3_*_fastqc.zip
FastQC	all_sections	Lung_M2_*	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/fastqc/Lung_M2_*_fastqc.zip
FastQC	all_sections	Lung_M3_*	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/fastqc/Lung_M3_*_fastqc.zip
FastQC	all_sections	Lung_M1_*	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/fastqc/Lung_M1_*_fastqc.zip
FastQC	all_sections	Lung_F2_*	/home/tfm20212-01/work/6a/bbe32ac4aa9de1d673f2b6a65d936f/fastqc/Lung_F2_*_fastqc.zip
